point_id,t_skin,n_str,h_str,t_str,mass_kg,lambda_1,N_cr_per_mm,meets_target
163,2.22332,2,13.44731,1.14612,1.27901,3.720299,37.2415,False
164,2.6818,2,19.97607,1.04191,1.54894,4.954936,87.0483,False
165,2.12146,2,37.76864,1.09221,1.29421,16.267560,141.4719,False
166,1.45467,6,38.73441,1.06195,1.15185,16.932480,258.4704,False
167,2.23686,4,18.7128,2.13195,1.46551,5.748027,162.7706,False
168,2.93444,3,14.12437,1.9371,1.74564,2.281323,93.3433,False
169,2.94811,4,13.31585,1.71741,1.76630,1.622303,105.1729,False
170,1.75516,2,18.13213,1.83622,1.06843,15.107440,74.4019,False
171,2.84065,4,34.35207,1.99377,1.96021,13.595230,788.4614,True
172,1.76941,5,30.81583,2.80556,1.58466,20.741000,418.6184,True
173,2.37098,5,29.76042,2.29147,1.79222,13.854910,672.8071,True
174,2.38058,4,14.93236,2.57903,1.53772,3.412264,116.4747,False
175,1.67058,4,33.43228,2.20492,1.33870,19.289410,227.5420,False
176,1.0814,4,17.79409,1.74426,0.77383,19.635140,62.8252,False
177,1.73851,5,10.40896,1.01363,1.03994,1.644129,31.4754,False
178,2.01143,3,33.09095,2.84544,1.51100,19.369250,255.2397,False
179,2.99728,3,21.16771,2.33127,1.87227,5.280160,230.2235,False
180,1.63797,4,21.09263,2.22927,1.17215,18.034000,200.5167,False
181,2.38616,2,21.78308,2.91566,1.50327,15.774630,195.2096,False
182,1.4141,4,20.31523,2.92985,1.11717,21.415080,153.2148,False
183,2.97346,3,15.14997,1.27558,1.73383,2.025551,86.2284,False
184,1.42452,5,10.81893,1.44196,0.90046,2.831219,29.8183,False
185,2.5878,4,14.31136,2.60016,1.64571,2.653643,116.3524,False
186,1.36197,2,39.3071,1.61215,0.93342,18.328690,42.1772,False
187,2.60595,5,29.94305,2.4944,1.96800,11.710950,755.0810,True
188,2.41342,3,27.18344,2.47664,1.62260,17.305720,393.9209,True
189,1.62585,5,10.95167,1.13417,0.99030,1.930496,30.2283,False
190,1.60113,3,31.24766,1.58603,1.09689,17.512150,116.3965,False
191,2.56747,5,36.05209,2.82759,2.13600,18.338880,1130.8165,True
192,1.30708,3,11.68067,2.28265,0.83792,9.295726,33.6132,False
193,2.73505,2,25.16158,1.46496,1.62316,9.604110,178.9766,False
194,1.57475,4,17.67955,1.95608,1.06784,11.417060,112.8054,False
195,2.44499,3,16.80869,1.16569,1.44112,3.135834,74.2173,False
196,1.0368,6,16.35159,1.7969,0.82151,18.180460,100.4816,False
197,2.32964,5,16.10733,2.34636,1.55795,3.247198,149.5817,False
198,2.25062,4,22.17522,2.18128,1.52028,8.792028,253.5924,False
199,2.55037,4,29.56679,1.81312,1.71607,11.413480,479.0362,True
95,2.45724,6,34.78342,1.20089,1.71460,28.086760,688.8424,True
117,2.62346,4,39.75674,1.29501,1.74490,47.528260,723.7602,True
